CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
SC_155,ADSL,2 MB,SC,PROFA. MA. ENCARNACIÓN REA QUINTERO,09:00 a 20:00,ESTATAL,VALLES,SAN MARTIN HIDALGO,SAN MARTIN HIDALGO,ZONA DEL RIO # 22,46770,-103.928129,20.434721,SUSPENDIDO
SC_157,ADSL,2 MB,SC,MARIA GUADALUPE URZUA FLORES,09:00 A 13:00 Y 16:00 A 18:00 ,MUNICIPAL,VALLES,SAN MARTIN HIDALGO,TEPEHUAJE,HIDALGO #. 1,46785,-103.907777,20.433754,SUSPENDIDO
SC_168,ADSL,2 MB,SC,VALENTIN GÓMEZ FARIAS,08:00 A 20:00,ESTATAL,VALLES,TALA,TALA,NICOLAS BRAVO #. 91,45300,-103.702471,20.644446,SUSPENDIDO
SC_172,ADSL,2 MB,SC,BIBLIOTECA PUBLICA MUNICIPAL,11.00 A 14:00 Y 16:00 A 20:00,MUNICIPAL,SURESTE,TAMAZULA DE GORDIANO,SANTA CRUZ VISTA HERMOSA,REVOLUCIÓN  # 20 - B,49657,-103.341991,19.691347,SUSPENDIDO
SC_173,ADSL,2 MB,SC,BENEMERITO  DE LAS  AMERICAS,09:00 a 20:00,ESTATAL,SURESTE,TAMAZULA DE GORDIANO,TAMAZULA DE GORDIANO,CALZADA CUAUHTEMOC S/N,49650,-103.253925,19.672471,SUSPENDIDO
SC_175,ADSL,2 MB,SC,JULIO DE LA MORA JAZO,09:00 a 20:00,ESTATAL,SURESTE,TECALITLAN,TECALITLAN,CUAHUTEMOC # 23 CASA DE LA  CULTURA,49900,-103.306224,19.471351,SUSPENDIDO
SC_181,ADSL,2 MB,SC,SALVADOR MORAN SANDOVAL,08:00 A 14:00 Y 16:00 A 20:00 ,ESTATAL,ALTOS ORTE,TEOCALTICHE,TEOCALTICHE,FRANCISCO I MADERO S/N,47200,-102.576594,21.43688,SUSPENDIDO
SC_183,ADSL,2 MB,SC,BIBLIOTECA PUBLICA MUNICIPAL,08:00 A 19:00,ESTATAL,SUR,TEOCUITATLAN DE CORONA,TEOCUITATLAN DE  CORONA,ALVARO OBREGÓN #. 31,49250,-103.378022,20.090692,SUSPENDIDO
SC_185,ADSL,2 MB,SC,JOSE VASCONCELOS,10:00 A 13:00 Y 16:00 A 19:00,MUNICIPAL,ALTOS SUR,TEPATITLAN DE MORELOS,CAPILLA MILPILLAS,FRANCISCO SARABIA #  35,47720,-102.842985,20.66418,SUSPENDIDO
SC_189,ADSL,2 MB,SC,SAMARTIN,08:00 A 20:00,ESTATAL,ALTOS SUR,TEPATITLAN DE MORELOS,TEPATITLAN  DE MORELOS,"SAMARTIN #.35, ESQ. INDEPENDENCIA",47600,-102.759365,20.815624,SUSPENDIDO
SC_190,ADSL,2 MB,SC,MERCEDES HERNANDEZ DE ORENDAIN,08:00 A 20:00,ESTATAL,VALLES,TEQUILA,TEQUILA,LERDO DE TEJEDA # 20 CASA DE LA  CULTURA,46400,-103.841216,20.887958,SUSPENDIDO
SC_191,ADSL,2 MB,SC,PETRONILO GONZALEZ ESTRADA,10:00 A 13:00 Y 16:00 A 19:00,ESTATAL,VALLES,TEUCHITLAN,TEUCHITLAN,HILARIÓN  ROMERO GIL # 14,46760,-103.847754,20.683989,SUSPENDIDO
SC_192,ADSL,2 MB,SC,LAZARO CARDENAS,08:00 A 20:00,ESTATAL,CIENEGA,TIZAPAN EL ALTO,TIZAPAN EL ALTO,FRANCISCO. I  MADERO #. 59,49400,-103.04505,20.159002,SUSPENDIDO
SC_197,ADSL,2 MB,SC,PROF. SAUL GARCIA RAMOS,09:00 a 20:00,MUNICIPAL,CENTRO,TLAJOMULCO DE ZU—IGA,SAN MIGUEL CUYUTLAN,JUAREZ S/N,45660,-103.391928,20.416079,SUSPENDIDO
SC_202,ADSL,2 MB,SC,JUAN RULFO,08:00 A 20:30,MUNICIPAL,CENTRO,TLAQUEPAQUE,LAS JUNTAS,GRECIA # 108,45590,-103.33094,20.611966,SUSPENDIDO
SC_206,ADSL,2 MB,SC,SOR JUANA INES DE LA CRUZ,09:00 a 20:00,MUNICIPAL,CENTRO,TLAQUEPAQUE,SAN MARTIN DE LAS FLORES,INDEPENDENCIA #21,45620,-103.284327,20.599576,SUSPENDIDO
SC_213,ADSL,2 MB,SC,5 DE ABRIL,08:00 A 20:00,ESTATAL,SUR,TOLIMAN,TOLIMAN,HIDALGO S/N,49750,-103.915515,19.601786,SUSPENDIDO
SC_214,ADSL,2 MB,SC,JUAN LIMÓN HERNANDEZ,10:00 A 13:00 Y 16:00 A 19:00,ESTATAL,COSTA ORTE,TOMATLAN,JOSE MA. MORELOS,16 DE SEPTIEMBRE  ESQUINA. MIGUEL HIDALGO,48495,-105.184613,19.676865,SUSPENDIDO
SC_215,ADSL,2 MB,SC,FRANCISCO LANGARICA,08:00 A 20:00,ESTATAL,COSTA ORTE,TOMATLAN,TOMATLAN,NI—OS HEROES # 51,48450,-105.247293,19.941636,SUSPENDIDO
SC_224,ADSL,2 MB,SC,LIBRADITA CEBALLOS BUENO,10:00 A 13:00 Y 16:00 A 19:00,ESTATAL,SUR,TONILA,TONILA,MACLOVIO HERRERA #. 3,49840,-103.549668,19.409669,SUSPENDIDO
SC_228,ADSL,2 MB,SC,AGUSTIN YA—EZ,10:00 A 13:00 Y 16:00 A 19:00,MUNICIPAL,CIENEGA,TUXCUECA,SAN LUIS SOYATLAN,RIVERA DEL LAGO # 70,49440,-103.304466,20.198891,SUSPENDIDO
SC_230,ADSL,2 MB,SC,MARGARITA  MAZA DE JUAREZ,08:00 A 20:00,ESTATAL,SUR,TUXPAN,LA FLORESTA,ANSELMO VILLALOBOS S/N,49800,-103.387236,19.557464,SUSPENDIDO
SC_231,ADSL,2 MB,SC,PROFA. MARIA LORENZA GUDI—O,08:00 A 20:00,ESTATAL,SUR,TUXPAN,TUXPAN,REFORMA #. 6 CASA DE LA CULTURA,49800,-103.375953,19.555868,SUSPENDIDO
SC_232,ADSL,2 MB,SC,PROFA. EULALIA LUCAS ALFEREZ,09:00 A 19:00,ESTATAL,ALTOS ORTE,UNIÓN DE SAN ANTONIO,UNION DE SAN ANTONIO,FRANCISCO M. CABRAL #. 24,47570,-102.004801,21.127754,SUSPENDIDO
SC_235,ADSL,2 MB,SC,RICARDO FLORES MAGON,08:00 A 20:00,ESTATAL,SIERRA DE AMULA,UNIÓN DE TULA,UNIÓN DE TULA,TOLUCA #. 75 SUR,48000,-104.267338,19.955383,SUSPENDIDO
SC_236,ADSL,2 MB,SC,PROF. LUCIO GONZALEZ PADILLA,09:00 A 19:00,ESTATAL,ALTOS SUR,VALLE DE GUADALUPE,VALLE DE GUADALUPE,SILVANO BARBA GONZALEZ S/N,47381,-102.616168,21.010729,SUSPENDIDO
SC_237,ADSL,2 MB,SC,NETZAHUALCOYOTL,09:00 a 20:00,ESTATAL,SURESTE,VALLE DE JUAREZ,VALLE DE JUAREZ,5 DE FEBRERO #. 21,49540,-102.943802,19.93297,SUSPENDIDO
SC_239,ADSL,2 MB,SC,MANUEL M. DIEGUEZ,08:00 A 19:00 ,ESTATAL,CENTRO,VILLA CORONA,VILLA CORONA,MANUEL M. DIEGUEZ #114,45730,-103.663119,20.417398,SUSPENDIDO
SC_241,ADSL,2 MB,SC,MARIANO AZUELA,08:00 A 20:00,ESTATAL,ALTOS ORTE,VILLA HIDALGO,VILLA HIDALGO,VENUSTIANO CARRANZA #. 299,47250,-102.588104,21.677115,SUSPENDIDO
SC_253,ADSL,2 MB,SC,LA VENTA DEL ASTILLERO,09:00 A 19:00,ESTATAL,CENTRO,ZAPOPAN,LA VENTA DEL ASTILLERO,AGUSTIN YA—EZ S/N,45220,-103.544315,20.728317,SUSPENDIDO
SC_266,ADSL,2 MB,SC,VALENTIN GÓMEZ FARIAS,09:00 a 20:00,ESTATAL,SUR,ZAPOTILTIC,ZAPOTILTIC,ANDADOR HIDALGOS S/N,49600,-103.416424,19.62645,SUSPENDIDO
SC_268,ADSL,2 MB,SC,BASILIO VADILLO,10:00 A 13:00 Y 16:00 A 19:00,ESTATAL,SUR,ZAPOTITLAN DE VADILLO,ZAPOTITLAN DE VADILLO,ANACLETO ALVAREZ S/N,49770,-103.813862,19.547023,SUSPENDIDO
SEFIN 23,ADSL,2 MB,SEFIN,RECAUDADORA o. 23,N/D,N/D,SURESTE,CONCEPCION DE BUENOS AIRES,CONCEPCION DE BUENOS AIRES,"CONSTITUCION o. 7, CONCEPCION DE BUENOS AIRES, CONCEPCIÓN DE BUENOS AIRES, C.P. 49170",N/D,103°15'24.78, 19°58'40.79 ,SUSPENDIDO
SSJ_002,ADSL,2 MB,SSJ,EL REFUGIO,N/D,N/D,ALTOS SUR,ACATIC,EL REFUGIO (PAREDONES),VALLARTA Y I—O MEXICANO,45470,-102.8977778,20.7269444,SUSPENDIDO
SSJ_003,ADSL,2 MB,SSJ,ACATLAN DE JUAREZ,N/D,N/D,CENTRO,ACATLAN DE JUAREZ,ACATLAN DE JUAREZ,JUSTO SIERRA O 26,45700,-103.5911111,20.4205556,SUSPENDIDO
SSJ_004,ADSL,2 MB,SSJ,AHUALULCO DE MERCADO,N/D,N/D,VALLES,AHUALULCO DE MERCADO,AHUALULCO DE MERCADO,COLON 25 EL COPAL,46730,-103.9761111,20.7002778,SUSPENDIDO
SSJ_005,ADSL,2 MB,SSJ,EL CARMEN DE ORDAZ,N/D,N/D,VALLES,AHUALULCO DE MERCADO,EL CARMEN (EL CAPULIN),RIO LERMA S/N,46750,-103.9105556,20.6530556,SUSPENDIDO
SSJ_007,ADSL,2 MB,SSJ,SANTA CRUZ DE BARCENAS,N/D,N/D,VALLES,AHUALULCO DE MERCADO,SANTA CRUZ DE BARCENAS (SANTA CRUZ),SAN ISIDRO #1,46750,-104.0013889,20.6688889,SUSPENDIDO
SSJ_008,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE AMACUECA,N/D,N/D,SUR,AMACUECA,AMACUECA,GUADALUPE YA—EZ # 3,49370,-103.6,20.0102778,SUSPENDIDO
SSJ_010,ADSL,2 MB,SSJ,AMATITAN,N/D,N/D,VALLES,AMATITAN,AMATITAN,LOPEZ MATEOS # 70,45380,-103.7275,20.8333333,SUSPENDIDO
SSJ_013,ADSL,2 MB,SSJ,HOSPITAL REGIONAL DE AMECA,N/D,N/D,VALLES,AMECA,AMECA,CARDENAL SALAZAR SN.,46600,-104.0472222,20.5477778,SUSPENDIDO
SSJ_014,ADSL,2 MB,SSJ,EEC. AMECA 1,N/D,N/D,VALLES,AMECA,AMECA,CAL.GOB.FLAVIO ROMERO DE VELASCO 62,46600,-104.0472222,20.5477778,SUSPENDIDO
SSJ_021,ADSL,2 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,VALLES,AMECA,AMECA,CALZADA FLAVIO ROMERO VELAZCO # 62,46600,-104.043229,20.542089,SUSPENDIDO
SSJ_022,ADSL,2 MB,SSJ,ALMACEN,N/D,N/D,VALLES,AMECA,AMECA,CALZADA FLAVIO ROMERO VELAZCO # 62,46600,-104.043229,20.542089,SUSPENDIDO
SSJ_023,ADSL,2 MB,SSJ,CENTRO DE SALUD LOS MEZQUITES,N/D,N/D,VALLES,AMECA,AMECA,"ALLENDE # 352 ENTRE JARDIN Y OYAMEL, COL. LOS MEZQUITES",46600,-104.062627,20.548758,SUSPENDIDO
SSJ_024,ADSL,2 MB,SSJ,ANTONIO ESCOBEDO,N/D,N/D,VALLES,SAN JUANITO DE ESCOBEDO,SAN JUANITO DE ESCOBEDO,MORELOS 33,46560,-104.0041667,20.7986111,SUSPENDIDO
SSJ_032,ADSL,2 MB,SSJ,ARENAL,N/D,N/D,VALLES,EL ARENAL,EL ARENAL,LAZARO CARDENAS # 500,45350,-103.6933333,20.7755556,SUSPENDIDO
SSJ_035,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE ATEMAJAC DE B.,N/D,N/D,SUR,ATEMAJAC DE BRIZUELA,ATEMAJAC DE BRIZUELA,AVENIDA BRIZUELA S/N,45790,-103.7275,20.1388889,SUSPENDIDO
SSJ_041,ADSL,2 MB,SSJ,HOSPITAL COMUNITARIO ATOTONILCO EL ALTO,N/D,N/D,CIENEGA,ATOTONILCO EL ALTO,ATOTONILCO EL ALTO,AVENIDA SOUTH SAN FRANCISCO 159,47750,-102.5083333,20.55,SUSPENDIDO
SSJ_042,ADSL,2 MB,SSJ,SAN FRANCISCO DE ASIS,N/D,N/D,CIENEGA,ATOTONILCO EL ALTO,SAN FRANCISCO DE ASIS,16 DE SEPTIEMBRE 100,47755,-102.565,20.5966667,SUSPENDIDO
SSJ_046,ADSL,2 MB,SSJ,SAN ANTONIO DE FERNANDEZ,N/D,N/D,CIENEGA,ATOTONILCO EL ALTO,SAN ANTONIO DE FERNANDEZ,SR. CURA GERARDO GONZALEZ S/N,47767,-102.6113889,20.5494444,SUSPENDIDO
SSJ_048,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE ATOYAC,N/D,N/D,SUR,ATOYAC,ATOYAC,ARCADIO ZU—IGA Y TEJEDA # 154,49200,-103.5152778,20.0097222,SUSPENDIDO
SSJ_050,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL DE UNION DE GPE.,N/D,N/D,SUR,ATOYAC,UNION DE GUADALUPE,16 DE SEPTIEMBRE # 88,49220,-103.4516667,19.9113889,SUSPENDIDO
SSJ_051,ADSL,2 MB,SSJ,HOSPITAL REGIONAL DE AUTLAN,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,PROL. MATAMOROS 810 PUERTA DEL SOL,48900,-104.3694444,19.7708333,SUSPENDIDO
SSJ_052,ADSL,2 MB,SSJ,COLONIA EJIDAL,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,CALLE ABEDUL O. 52 AUTLAN,48900,-104.3694444,19.7708333,SUSPENDIDO
SSJ_053,ADSL,2 MB,SSJ,ARQUITOS,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,MUTUALISMO O. 63 B,48900,-104.3694444,19.7708333,SUSPENDIDO
SSJ_054,ADSL,2 MB,SSJ,AUTLAN,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,JOSE MARIA MERCADO O. 146,48900,-104.3694444,19.7708333,SUSPENDIDO
SSJ_057,ADSL,2 MB,SSJ,EL CHANTE,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,EL CHANTE,RAMON CORONA O. 1,48918,-104.2033333,19.7186111,SUSPENDIDO
SSJ_060,ADSL,2 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,JOSE MARIA MRCADO # 146 AUTLAN,48900,-104.365651,19.769197,SUSPENDIDO
SSJ_061,ADSL,2 MB,SSJ,ALMACEN,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,CALLE ANTONIO TORRES # 172  CENTRO,48900,-104.359839,19.766055,SUSPENDIDO
SSJ_062,ADSL,2 MB,SSJ,LABORATORIO DE SALUD PUBLICA JUR. 7 AUTLAN,N/D,N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,CALLE JOSE MARIA MERCADO # 146,48900,-104.365651,19.769197,SUSPENDIDO
SSJ_063,ADSL,2 MB,SSJ,AYOTLAN,N/D,N/D,CIENEGA,AYOTLAN,AYOTLAN,AV REVOLUCION 15,47930,-102.3269444,20.5286111,SUSPENDIDO
SSJ_065,ADSL,2 MB,SSJ,LA CONCEPCION,N/D,N/D,CIENEGA,AYOTLAN,LA CONCEPCIÓN,LAZARO CARDENAS S/N,47490,-102.3308333,20.35,SUSPENDIDO
SSJ_069,ADSL,2 MB,SSJ,AYUTLA,N/D,N/D,SIERRA OCCIDENTAL,AYUTLA,AYUTLA,GUERRERO O. 195,48050,-104.3444444,20.1288889,SUSPENDIDO
SSJ_074,ADSL,2 MB,SSJ,HOSPITAL REGIONAL DE LA BARCA,N/D,N/D,CIENEGA,LA BARCA,LA BARCA,"VENUS # 84, FRACCIONAMIENTO JARDINES DEL SOL",47913,-102.5497222,20.2772222,SUSPENDIDO
SSJ_077,ADSL,2 MB,SSJ,EL CARMEN,N/D,N/D,CIENEGA,LA BARCA,EL CARMEN,DELFINO LOZANO 15,47910,-102.4188889,20.4061111,SUSPENDIDO
SSJ_078,ADSL,2 MB,SSJ,EL GOBERNADOR,N/D,N/D,CIENEGA,LA BARCA,EL GOBERNADOR,LOPEZ MATEOS 1,47910,-102.4558333,20.3894444,SUSPENDIDO
SSJ_079,ADSL,2 MB,SSJ,GUADALUPE DE LERMA,N/D,N/D,CIENEGA,LA BARCA,GUADALUPE DEL LERMA,CONICIDO GPE. DE LERMA,47925,-102.3613889,20.3405556,SUSPENDIDO
SSJ_082,ADSL,2 MB,SSJ,SAN ANTONIO DE RIVAS,N/D,N/D,CIENEGA,LA BARCA,SAN ANTONIO DE RIVAS,PRISCILIANO SANCHEZ S/N,47910,-102.4302778,20.35,SUSPENDIDO
SSJ_084,ADSL,2 MB,SSJ,SAN JOSE CASAS CAIDAS,N/D,N/D,CIENEGA,LA BARCA,SAN JOSE CASAS CAIDAS,HIDALGO 68,47925,-102.4405556,20.4227778,SUSPENDIDO
SSJ_087,ADSL,2 MB,SSJ,SANTA LUCIA,N/D,N/D,CIENEGA,LA BARCA,SANTA LUCIA,EMILIANO ZAPATA 83,47925,-102.3694444,20.3655556,SUSPENDIDO
SSJ_090,ADSL,2 MB,SSJ,OFICINAS ADMINISTRATIVAS,N/D,N/D,CIENEGA,LA BARCA,LA BARCA,AVENIDA RUIZ CORTINEZ # 29 COL. SANTA MONICA LA BARCA,47910,-102.5497222,20.2772222,SUSPENDIDO
SSJ_091,ADSL,2 MB,SSJ,ALMACEN,N/D,N/D,CIENEGA,LA BARCA,LA BARCA,ADOLFO RUIZ CORTINEZ # 29 COL. EJIDAL,47910,-102.5497222,20.2772222,SUSPENDIDO
SSJ_092,ADSL,2 MB,SSJ,LABORATORIO DE SALUD PUBLICA JUR 4 LA BARCA,N/D,N/D,CIENEGA,LA BARCA,LA BARCA,AV. RUIZ CORTINEZ # 29,47910,-102.5497222,20.2772222,SUSPENDIDO
SSJ_097,ADSL,2 MB,SSJ,CENTRO DE SALUD EL TUITO,N/D,N/D,COSTA ORTE,CABO CORRIENTES,EL TUITO,PABLO RIOS ESQ. CON VICENTE GUERRERO,48400,-105.3261111,20.3197222,SUSPENDIDO
SSJ_101,ADSL,2 MB,SSJ,CASIMIRO CASTILLO,N/D,N/D,COSTA SUR,CASIMIRO CASTILLO,LA RESOLANA,PINO SUAREZ S/N,48930,-104.4352778,19.6022222,SUSPENDIDO
SSJ_104,ADSL,2 MB,SSJ,TECOMATES,N/D,N/D,COSTA SUR,CASIMIRO CASTILLO,TECOMATES (PIEDRA PESADA),INDEPENDENCIA O. 110,48945,-104.4855556,19.55,SUSPENDIDO
SSJ_105,ADSL,2 MB,SSJ,HOSPITAL COMUNITARIO CIHUATLAN,N/D,N/D,COSTA SUR,CIHUATLAN,CIHUATLAN,CALLE LOPEZ MATEOS O. 12 CIHUATLAN,48970,-104.5619444,19.2375,SUSPENDIDO
SSJ_107,ADSL,2 MB,SSJ,BARRA DE AVIDAD,N/D,N/D,COSTA SUR,CIHUATLAN,BARRA DE AVIDAD,PTO. DE LA AVIDAD #4,48987,-104.6827778,19.2041667,SUSPENDIDO
SSJ_108,ADSL,2 MB,SSJ,JALUCO,N/D,N/D,COSTA SUR,CIHUATLAN,JALUCO,CALLEJON DE DOMINGUEZ S/N,48985,-104.6855556,19.2305556,SUSPENDIDO
SSJ_109,ADSL,2 MB,SSJ,SAN PATRICIO,N/D,N/D,COSTA SUR,CIHUATLAN,SAN PATRICIO (MELAQUE),GORDIANO GUZMAN O. 11,48984,-104.7008333,19.225,SUSPENDIDO
SSJ_117,ADSL,2 MB,SSJ,COCULA,N/D,N/D,VALLES,COCULA,COCULA,ANGULO 50 LA ASCENCION,48500,-103.8222222,20.3652778,SUSPENDIDO
SSJ_130,ADSL,2 MB,SSJ,CENTRO DE SALUD CONCEPCION DE BUENOS A.,N/D,N/D,SURESTE,CONCEPCION DE BUENOS AIRES,CONCEPCION DE BUENOS AIRES,AV. MEXICO #1,49170,-103.2605556,19.9783333,SUSPENDIDO
SSJ_131,ADSL,2 MB,SSJ,CUAUTITLAN DE G.BARRAGAN,N/D,N/D,COSTA SUR,CUAUTITLAN DE GARCIA BARRAGAN,CUAUTITLAN DE GARCIA BARRAGAN,CALLE HIDALGO O. 14 CUAUTITLAN,48950,-104.3591667,19.4505556,SUSPENDIDO
SSJ_135,ADSL,2 MB,SSJ,TEQUESQUITLAN,N/D,N/D,COSTA SUR,CUAUTITLAN DE GARCIA BARRAGAN,TEQUESQUITLAN,CALLE IGNACIO ALLENDE S/N TEQUESQUITLAN,48965,-104.5191667,19.3866667,SUSPENDIDO
SSJ_138,ADSL,2 MB,SSJ,CUQUIO,N/D,N/D,CENTRO,CUQUIO,CUQUIO,CUAUHTEMOC # 564,45480,-103.0233333,20.9277778,SUSPENDIDO
SSJ_144,ADSL,2 MB,SSJ,TEPONAHUASCO,N/D,N/D,CENTRO,CUQUIO,TEPONAHUASCO,DOMICILIO CONOCIDO (TEPONOHUASCO) ,45480,-103.0388889,20.9075,SUSPENDIDO
SSJ_148,ADSL,2 MB,SSJ,SAN ICOLAS DE IBARRA,N/D,N/D,CIENEGA,CHAPALA,SAN ICOLAS DE IBARRA,REAL O 1-A,45940,-103.1291667,20.3272222,SUSPENDIDO
SSJ_150,ADSL,2 MB,SSJ,CENTRO DE SALUD RURAL ATOTONILQUILLO,N/D,N/D,CIENEGA,CHAPALA,ATOTONILQUILLO,JUAREZ #80-A COL. CENTRO,45930,103°11'26.33, 20°17'35.85 ,SUSPENDIDO
SSJ_157,ADSL,2 MB,SSJ,DEGOLLADO,N/D,N/D,CIENEGA,DEGOLLADO,DEGOLLADO,MORELOS 255,47980,-102.1391667,20.4469444,SUSPENDIDO
SSJ_160,ADSL,2 MB,SSJ,EJUTLA,N/D,N/D,SIERRA DE AMULA,EJUTLA,EJUTLA,INDEPENDENCIA O. 33,48680,-104.1625,19.9055556,SUSPENDIDO
SSJ_161,ADSL,2 MB,SSJ,HOSPITAL COMUNITARIO ENCARNACIÓN DE DIAZ,N/D,N/D,ALTOS ORTE,ENCARNACION DE DIAZ,ENCARNACION DE DIAZ,ALLENDE Y LOPEZ MATEOS,47270,-102.2369444,21.5241667,SUSPENDIDO
SSJ_162,ADSL,2 MB,SSJ,ENCARNACIÓN DE DIAZ I,N/D,N/D,ALTOS ORTE,ENCARNACION DE DIAZ,ENCARNACION DE DIAZ,ALLENDE Y LOPEZ MATEOS,45270,-102.2369444,21.5241667,SUSPENDIDO
SSJ_163,ADSL,2 MB,SSJ,ENCARNACIÓN DE DIAZ II,N/D,N/D,ALTOS ORTE,ENCARNACION DE DIAZ,ENCARNACION DE DIAZ,ALLENDE Y LOPEZ MATEOS,47270,-102.2369444,21.5241667,SUSPENDIDO
SSJ_164,ADSL,2 MB,SSJ,BAJIO DE SAN JOSE,N/D,N/D,ALTOS ORTE,ENCARNACION DE DIAZ,BAJIO DE SAN JOSE,INDEPENDENCIA S/N,47280,-102.1133333,21.6786111,SUSPENDIDO
SSJ_170,ADSL,2 MB,SSJ,ETZATLAN,N/D,N/D,VALLES,ETZATLAN,ETZATLAN,ZARAGOZA 261,46500,-104.0805556,20.7647222,SUSPENDIDO
SSJ_172,ADSL,2 MB,SSJ,HOSPITAL COMUNITARIO EL GRULLO,N/D,N/D,SIERRA DE AMULA,EL GRULLO,EL GRULLO,GENERAL ANAYA O. 11,48740,-104.2169444,19.8052778,SUSPENDIDO
SSJ_227,ADSL,2 MB,SSJ,HOSPITAL COMUNITARIO LA HUERTA,N/D,N/D,COSTA SUR,LA HUERTA,LA HUERTA,MARCELINO GARCIA BARRAGAN S/N,48850,-104.6391667,19.4811111,SUSPENDIDO
SSJ_229,ADSL,2 MB,SSJ,LA CONCEPCION,N/D,N/D,COSTA SUR,LA HUERTA,LA CONCEPCIÓN (LA CONCHA),20 DE OVIEMBRE O. 24,48870,-104.5633333,19.4933333,SUSPENDIDO
SSJ_230,ADSL,2 MB,SSJ,FRANCISCO VILLA,N/D,N/D,COSTA SUR,LA HUERTA,FRANCISCO VILLA,ALVARO OBREGON EZQ. 20 DE OVIEMBRE S/N,48878,-104.9686111,19.3855556,SUSPENDIDO
SSJ_232,ADSL,2 MB,SSJ,CENTRO DE SALUD SAN MATEO,N/D,N/D,COSTA SUR,LA HUERTA,SAN MATEO,AVILLOS Y GUACAMAYA,48850,-105.0852778,19.5761111,SUSPENDIDO
SSJ_252,ADSL,2 MB,SSJ,C.S. JALOSTOTITLAN,N/D,N/D,ALTOS SUR,JALOSTOTITLAN,JALOSTOTITLAN,RAMON CORONA 174,47120,-102.4652778,21.1683333,SUSPENDIDO
SSJ_260,ADSL,2 MB,SSJ,C.S. JOSEFINO DE ALLENDE,N/D,N/D,ALTOS SUR,JESUS MARIA,ALLENDE (JOSEFINO DE ALLENDE),MIGUEL DIAZ OROZCO 10,47976,-102.0852778,20.72,SUSPENDIDO
SSJ_264,ADSL,2 MB,SSJ,C.S. SAN JOSE DE LA PAZ,N/D,N/D,ALTOS SUR,JESUS MARIA,SAN JOSE DE LA PAZ,VICENTE GUERRERO 3,47970,-102.0561111,20.5497222,SUSPENDIDO
SSJ_271,ADSL,2 MB,SSJ,SAN JUAN COSALA,N/D,N/D,CIENEGA,JOCOTEPEC,SAN JUAN COSALA,LA PAZ O 90,45820,-103.3402778,20.2858333,SUSPENDIDO
SSJ_272,ADSL,2 MB,SSJ,SAN PEDRO TESISTAN,N/D,N/D,CIENEGA,JOCOTEPEC,SAN PEDRO TESISTAN,ZARAGOZA O 82,45830,-103.4136111,20.2272222,SUSPENDIDO
SSJ_275,ADSL,2 MB,SSJ,JUANACATLAN,N/D,N/D,CENTRO,JUANACATLAN,JUANACATLAN,ZARAGOZA # 78,45880,-103.1705556,20.5088889,SUSPENDIDO
SSJ_277,ADSL,2 MB,SSJ,JUCHITLAN,N/D,N/D,SIERRA DE AMULA,JUCHITLAN,JUCHITLAN,CONSTITUCION O. 108,48600,-104.0975,20.0833333,SUSPENDIDO
SSJ_279,ADSL,2 MB,SSJ,HOSPITAL REGIONAL DE LAGOS DE MORENO,N/D,N/D,ALTOS ORTE,LAGOS DE MORENO,LAGOS DE MORENO,FCO. I. MADERO Y 16 DE SEPTIEMBRE,47440,-101.9333333,21.3558333,SUSPENDIDO
SSJ_280,ADSL,2 MB,SSJ,MODULO V LAGOS DE MORENO VA.SANTA MARIA,N/D,N/D,ALTOS ORTE,LAGOS DE MORENO,LAGOS DE MORENO,POPOCATEPETL 481,47400,-101.9333333,21.3558333,SUSPENDIDO
SSJ_281,ADSL,2 MB,SSJ,DR. J. DE JESUS DELGADILLO ARAUJO,N/D,N/D,ALTOS ORTE,LAGOS DE MORENO,LAGOS DE MORENO,DIVISION DEL ORTE 107,47420,-101.9333333,21.3558333,SUSPENDIDO
SSJ_282,ADSL,2 MB,SSJ,LOS AZULITOS,N/D,N/D,ALTOS ORTE,LAGOS DE MORENO,LOS AZULITOS,INSURGENTES #47,47400,-101.9638889,21.8463889,SUSPENDIDO
